NAME                                                    VERSION           TYPE                          
@asamuzakjp/css-color                                   5.1.11            npm                            
@asamuzakjp/dom-selector                                7.1.1             npm                            
@asamuzakjp/generational-cache                          1.0.1             npm                            
@asamuzakjp/nwsapi                                      2.3.9             npm                            
@bramus/specificity                                     2.4.2             npm                            
@csstools/color-helpers                                 6.0.2             npm                            
@csstools/css-calc                                      3.2.1             npm                            
@csstools/css-color-parser                              4.1.1             npm                            
@csstools/css-parser-algorithms                         4.0.0             npm                            
@csstools/css-syntax-patches-for-csstree                1.1.3             npm                            
@csstools/css-tokenizer                                 4.0.0             npm                            
@exodus/bytes                                           1.15.0            npm                            
@ioredis/commands                                       1.10.0            npm                            
@isaacs/cliui                                           8.0.2             npm                            
@isaacs/fs-minipass                                     4.0.1             npm                            
@mastodon/mastodon                                      UNKNOWN           npm                            
@mastodon/streaming                                     UNKNOWN           npm                            
@npmcli/agent                                           3.0.0             npm                            
@npmcli/fs                                              4.0.0             npm                            
@opentelemetry/api                                      1.6.0             npm                            
@pinojs/redact                                          0.4.0             npm                            
@pkgjs/parseargs                                        0.11.0            npm                            
@rails/actiontext                                       8.1.300           npm                            
abbrev                                                  3.0.1             npm                            
accepts                                                 2.0.0             npm                            
acl-libs                                                2.3.2-r1          apk                            
action_text-trix                                        2.1.19            gem                            
actioncable                                             8.1.3             gem                            
actionmailbox                                           8.1.3             gem                            
actionmailer                                            8.1.3             gem                            
actionpack                                              8.1.3             gem                            
actiontext                                              8.1.3             gem                            
actionview                                              8.1.3             gem                            
active_model_serializers                                0.10.16           gem                            
activejob                                               8.1.3             gem                            
activemodel                                             8.1.3             gem                            
activerecord                                            8.1.3             gem                            
activestorage                                           8.1.3             gem                            
activesupport                                           8.1.3             gem                            
ada-libs                                                3.3.0-r0          apk                            
addressable                                             2.9.0             gem                            
aes_key_wrap                                            1.1.0             gem                            
agent-base                                              7.1.3             npm                            
aligned                                                 0.4.2             rust-crate                     
aligned-vec                                             0.6.4             rust-crate                     
alpine-baselayout                                       3.7.2-r1          apk                            
alpine-baselayout-data                                  3.7.2-r1          apk                            
alpine-keys                                             2.6-r0            apk                            
alpine-release                                          3.24.1-r0         apk                            
alsa-lib                                                1.2.15.3-r0       apk                            
android_key_attestation                                 0.3.0             gem                            
ansi-regex                                              5.0.1             npm                            
ansi-regex                                              6.2.2             npm                            
ansi-styles                                             4.3.0             npm                            
ansi-styles                                             6.2.3             npm                            
anstream                                                0.6.19            rust-crate                     
anstyle                                                 1.0.11            rust-crate                     
anstyle-parse                                           0.2.7             rust-crate                     
anstyle-query                                           1.1.3             rust-crate                     
anyhow                                                  1.0.98            rust-crate    (+1 duplicate)   
aom-libs                                                3.14.1-r0         apk                            
apache2-utils                                           2.4.68-r0         apk                            
apk-tools                                               3.0.6-r0          apk                            
apr                                                     1.7.6-r0          apk                            
apr-util                                                1.6.3-r2          apk                            
arg_enum_proc_macro                                     0.3.4             rust-crate                     
argon2-libs                                             20190702-r5       apk                            
arrayvec                                                0.7.4             rust-crate                     
arrayvec                                                0.7.6             rust-crate                     
as-slice                                                0.2.1             rust-crate                     
atomic-sleep                                            1.0.0             npm                            
attr_required                                           1.0.2             gem                            
av-metrics                                              0.9.1             rust-crate                     
av-scenechange                                          0.14.1            rust-crate                     
av1-grain                                               0.2.4             rust-crate                     
aws-eventstream                                         1.4.0             gem                            
aws-partitions                                          1.1259.0          gem                            
aws-sdk-core                                            3.252.0           gem                            
aws-sdk-kms                                             1.129.0           gem                            
aws-sdk-s3                                              1.225.1           gem                            
aws-sigv4                                               1.12.1            gem                            
azure-blob                                              0.5.9.1           gem                            
balanced-match                                          1.0.2             npm                            
base64                                                  0.3.0             gem                            
bash                                                    5.3.9-r1          apk                            
bcp47_spec                                              0.2.1             gem                            
bcrypt                                                  3.1.22            gem                            
benchmark                                               0.4.0             gem                            
benchmark                                               0.5.0             gem                            
bidi-js                                                 1.0.3             npm                            
bigdecimal                                              3.3.1             gem                            
bindata                                                 2.5.1             gem                            
bintrees                                                1.0.2             npm                            
bitflags                                                2.4.1             rust-crate                     
bitflags                                                2.9.1             rust-crate                     
bitstream-io                                            2.6.0             rust-crate                     
bitstream-io                                            4.2.0             rust-crate                     
bitvec                                                  1.0.1             rust-crate                     
bitvec_helpers                                          3.1.6             rust-crate                     
blurhash                                                0.1.8             gem                            
body-parser                                             2.2.1             npm                            
bootsnap                                                1.24.6            gem                            
brace-expansion                                         2.1.0             npm                            
brotli-libs                                             1.2.0-r1          apk                            
browser                                                 6.2.0             gem                            
bubblewrap                                              0.11.2-r0         apk                            
bufferutil                                              4.1.0             npm                            
builder                                                 3.3.0             gem                            
bundler                                                 2.6.9             gem                            
bundler                                                 4.0.13            gem                            
busybox                                                 1.37.0-r31        apk                            
busybox-binsh                                           1.37.0-r31        apk                            
bytemuck                                                1.14.0            rust-crate                     
bytes                                                   3.1.2             npm                            
c-ares                                                  1.34.6-r0         apk                            
ca-certificates                                         20260611-r0       apk                            
ca-certificates-bundle                                  20260611-r0       apk                            
cacache                                                 19.0.1            npm                            
cairo                                                   1.18.4-r1         apk                            
call-bind-apply-helpers                                 1.0.2             npm                            
call-bound                                              1.0.4             npm                            
case_transform                                          0.2               gem                            
catatonit                                               0.2.1-r0          apk                            
cbor                                                    0.5.10.2          gem                            
cfg-if                                                  1.0.0             rust-crate                     
cfg-if                                                  1.0.1             rust-crate                     
cfitsio                                                 4.6.4-r0          apk                            
cgi                                                     0.4.2             gem                            
cgi                                                     0.5.1             gem                            
cgif                                                    0.5.3-r0          apk                            
charlock_holmes                                         0.7.9             gem                            
chewy                                                   8.4.1             gem                            
chownr                                                  3.0.0             npm                            
chunky_png                                              1.4.0             gem                            
cjson                                                   1.7.19-r1         apk                            
clap                                                    4.5.40            rust-crate                     
clap_builder                                            4.5.40            rust-crate                     
clap_complete                                           4.5.54            rust-crate                     
clap_lex                                                0.7.5             rust-crate                     
climate_control                                         1.2.0             gem                            
cluster-key-slot                                        1.1.1             npm                            
cocoon                                                  1.2.15            gem                            
color-convert                                           2.0.1             npm                            
color-name                                              1.1.4             npm                            
color_diff                                              0.2               gem                            
colorchoice                                             1.0.4             rust-crate                     
composer                                                2.10.2            binary                         
concurrent-ruby                                         1.3.7             gem                            
concurrent_ruby                                         UNKNOWN           java-archive                   
connection_pool                                         3.0.2             gem                            
